3/22/2024	
User name: Benedetta-Federico
Cooldown number: CD187
Number of segments: 200
Record lenght: 1000
Time : 1.000000E-5
Laser: 406nm,	16.5 mW
Attenuation: 
Temperature: 40.5 mK
I_bias: 165.999 uA
Filter: 

Resource name:PXI1Slot2_1
Acquisition time:1.615797E+2

Amplitude	Counts
V
1.600391E+0	1.070000E+3
1.601539E+0	1.061000E+3
1.602687E+0	1.072000E+3
1.603835E+0	1.112000E+3
1.604983E+0	1.028000E+3
1.606131E+0	1.049000E+3
1.607279E+0	1.115000E+3
1.608427E+0	1.094000E+3
1.609575E+0	1.050000E+3
1.610723E+0	9.960000E+2
1.611871E+0	1.011000E+3
1.613019E+0	9.770000E+2
1.614167E+0	9.090000E+2
1.615315E+0	9.490000E+2
1.616463E+0	8.620000E+2
1.617611E+0	8.880000E+2
1.618759E+0	9.170000E+2
1.619907E+0	9.100000E+2
1.621055E+0	8.730000E+2
1.622204E+0	9.480000E+2
1.623352E+0	9.160000E+2
1.624500E+0	9.040000E+2
1.625648E+0	8.140000E+2
1.626796E+0	8.810000E+2
1.627944E+0	7.600000E+2
1.629092E+0	8.250000E+2
1.630240E+0	7.970000E+2
1.631388E+0	7.500000E+2
1.632536E+0	7.390000E+2
1.633684E+0	6.830000E+2
1.634832E+0	7.840000E+2
1.635980E+0	6.950000E+2
1.637128E+0	7.110000E+2
1.638276E+0	7.550000E+2
1.639424E+0	6.710000E+2
1.640572E+0	7.230000E+2
1.641720E+0	6.710000E+2
1.642868E+0	6.700000E+2
1.644016E+0	6.150000E+2
1.645164E+0	6.890000E+2
1.646312E+0	6.310000E+2
1.647460E+0	5.960000E+2
