ion,x,y,z,vx,vy,vz,energy,elev,azim
837, 230.00, 23.45, 46.20, 1.36, -18.76, 56.25, 0.01, 1.31, 18.45
 837, 325.00, 23.41, 49.10, 5928.53, 25.44, 146.71, 99.99, 88.56, -9.84 
838, 230.00, -70.81, -51.92, 4.58, 49.26, 32.71, 0.01, 4.43, -56.41
 838, 325.00, -73.69, -54.14, 5923.53, -228.44, -171.10, 99.99, 87.24, 126.83 
839, 230.00, 8.18, -64.54, 13.12, -36.98, 44.47, 0.01, 12.78, 39.74
 839, 325.00, 7.25, -65.05, 5929.56, -20.25, -97.34, 99.99, 89.04, 168.25 
840, 230.00, 67.42, -50.58, 37.33, 41.11, 20.82, 0.01, 39.01, -63.14
 840, 325.00, 72.40, -52.71, 5921.37, 285.61, -159.84, 99.99, 86.84, -119.23 
841, 230.00, 40.04, 4.81, 32.06, -38.73, 31.46, 0.01, 32.72, 50.91
 841, 325.00, 39.67, 5.92, 5930.13, 37.20, 41.99, 99.99, 89.46, -41.53 
842, 230.00, -22.23, 93.35, 52.78, 0.68, -27.05, 0.01, 62.85, -178.55
 842, 325.00, -24.67, 102.87, 5903.22, -137.11, 549.85, 99.99, 84.52, 14.00 
843, 230.00, 0.08, -38.61, 15.26, -57.02, -5.81, 0.01, 14.91, 95.82
 843, 325.00, -1.74, -39.62, 5929.55, -59.11, -81.02, 99.99, 89.03, 143.89 
844, 230.00, 67.05, 16.40, 54.01, 8.19, 23.11, 0.01, 65.59, -19.52
 844, 325.00, 69.53, 17.67, 5927.58, 171.16, 63.85, 99.99, 88.23, -69.54 
845, 230.00, 82.23, 43.02, 45.98, -37.37, -2.75, 0.01, 50.82, 94.20
 845, 325.00, 88.05, 46.58, 5914.76, 373.95, 213.51, 99.99, 85.84, -60.28 
846, 230.00, -39.87, -23.07, 32.74, 31.45, -38.16, 0.01, 33.51, -140.51
 846, 325.00, -39.76, -24.80, 5929.67, -41.86, -82.61, 99.99, 89.11, 153.13 
847, 230.00, 0.18, -39.16, 39.26, -1.14, 44.44, 0.01, 41.45, 1.47
